#,firmware,0.0.1,
#,devices,NXSCK,
#,product types,SOCK,
#,data,1.0.0
#,username,Basdeo05
#,platform,iOS

time,measurement,value,field,type,device
2021-09-14 13:22:09:8450,IMU,23,gy,gyration,NXSCK
2021-09-14 13:22:09:8450,IMU,39,gz,gyration,NXSCK
2021-09-14 13:22:09:9050,sensor,27,a0,adc,NXSCK
2021-09-14 13:22:09:9050,sensor,76,a1,adc,NXSCK
2021-09-14 13:22:09:9050,sensor,120,a2,adc,NXSCK
2021-09-14 13:22:10:1440,IMU,31,gx,gyration,NXSCK
2021-09-14 13:22:10:1440,IMU,-122,gy,gyration,NXSCK
2021-09-14 13:22:10:1440,IMU,-108,gz,gyration,NXSCK
2021-09-14 13:22:10:2050,sensor,11,a0,adc,NXSCK
2021-09-14 13:22:10:2050,sensor,188,a1,adc,NXSCK
2021-09-14 13:22:10:2050,sensor,233,a2,adc,NXSCK
2021-09-14 13:22:10:2940,IMU,782,ax,acceleration,NXSCK
2021-09-14 13:22:10:2940,IMU,368,ay,acceleration,NXSCK
2021-09-14 13:22:10:2940,IMU,289,az,acceleration,NXSCK
2021-09-14 13:22:10:3540,IMU,-180,gx,gyration,NXSCK
2021-09-14 13:22:10:3540,IMU,114,gy,gyration,NXSCK
2021-09-14 13:22:10:3540,IMU,16,gz,gyration,NXSCK
2021-09-14 13:22:10:4130,IMU,-72,mx,magnet,NXSCK
2021-09-14 13:22:10:4130,IMU,67,my,magnet,NXSCK
2021-09-14 13:22:10:4130,IMU,58,mz,magnet,NXSCK
2021-09-14 13:22:10:4740,sensor,93,a0,adc,NXSCK
2021-09-14 13:22:10:4740,sensor,175,a1,adc,NXSCK
2021-09-14 13:22:10:4740,sensor,90,a2,adc,NXSCK
2021-09-14 13:22:10:5350,IMU,768,ax,acceleration,NXSCK
2021-09-14 13:22:10:5350,IMU,518,ay,acceleration,NXSCK
2021-09-14 13:22:10:5350,IMU,460,az,acceleration,NXSCK
2021-09-14 13:22:10:5940,IMU,81,gx,gyration,NXSCK
2021-09-14 13:22:10:5940,IMU,0,gy,gyration,NXSCK
2021-09-14 13:22:10:5940,IMU,-134,gz,gyration,NXSCK
2021-09-14 13:22:10:6550,IMU,-65,mx,magnet,NXSCK
2021-09-14 13:22:10:6550,IMU,59,my,magnet,NXSCK
2021-09-14 13:22:10:6550,IMU,52,mz,magnet,NXSCK
2021-09-14 13:22:10:7150,sensor,130,a0,adc,NXSCK
2021-09-14 13:22:10:7150,sensor,115,a1,adc,NXSCK
2021-09-14 13:22:10:7150,sensor,176,a2,adc,NXSCK
2021-09-14 13:22:10:7730,IMU,505,ax,acceleration,NXSCK
2021-09-14 13:22:10:7730,IMU,715,ay,acceleration,NXSCK
2021-09-14 13:22:10:7730,IMU,213,az,acceleration,NXSCK
2021-09-14 13:22:10:8330,IMU,-94,gx,gyration,NXSCK
2021-09-14 13:22:10:8330,IMU,102,gy,gyration,NXSCK
2021-09-14 13:22:10:8330,IMU,93,gz,gyration,NXSCK
2021-09-14 13:22:10:8940,IMU,-58,mx,magnet,NXSCK
2021-09-14 13:22:10:8940,IMU,54,my,magnet,NXSCK
2021-09-14 13:22:10:8940,IMU,55,mz,magnet,NXSCK
2021-09-14 13:22:10:9550,sensor,100,a0,adc,NXSCK
2021-09-14 13:22:10:9550,sensor,192,a1,adc,NXSCK
2021-09-14 13:22:10:9550,sensor,207,a2,adc,NXSCK
2021-09-14 13:22:11:0130,IMU,359,ax,acceleration,NXSCK
2021-09-14 13:22:11:0130,IMU,170,ay,acceleration,NXSCK
2021-09-14 13:22:11:0130,IMU,781,az,acceleration,NXSCK
2021-09-14 13:22:11:1340,IMU,-147,gx,gyration,NXSCK
2021-09-14 13:22:11:1340,IMU,-39,gy,gyration,NXSCK
2021-09-14 13:22:11:1340,IMU,-78,gz,gyration,NXSCK
2021-09-14 13:22:11:1940,sensor,64,a0,adc,NXSCK
2021-09-14 13:22:11:1940,sensor,178,a1,adc,NXSCK
2021-09-14 13:22:11:1940,sensor,217,a2,adc,NXSCK
2021-09-14 13:22:11:2830,IMU,975,ax,acceleration,NXSCK
2021-09-14 13:22:11:2830,IMU,546,ay,acceleration,NXSCK
2021-09-14 13:22:11:2830,IMU,493,az,acceleration,NXSCK
2021-09-14 13:22:11:3440,IMU,324,gx,gyration,NXSCK
2021-09-14 13:22:11:3440,IMU,-115,gy,gyration,NXSCK
2021-09-14 13:22:11:3440,IMU,257,gz,gyration,NXSCK
2021-09-14 13:22:11:4050,IMU,-70,mx,magnet,NXSCK
2021-09-14 13:22:11:4050,IMU,62,my,magnet,NXSCK
2021-09-14 13:22:11:4050,IMU,41,mz,magnet,NXSCK
2021-09-14 13:22:11:4650,sensor,95,a0,adc,NXSCK
2021-09-14 13:22:11:4650,sensor,112,a1,adc,NXSCK
2021-09-14 13:22:11:4650,sensor,351,a2,adc,NXSCK
2021-09-14 13:22:11:5240,IMU,800,ax,acceleration,NXSCK
2021-09-14 13:22:11:5240,IMU,88,ay,acceleration,NXSCK
2021-09-14 13:22:11:5240,IMU,518,az,acceleration,NXSCK
2021-09-14 13:22:11:5840,IMU,62,gx,gyration,NXSCK
2021-09-14 13:22:11:5840,IMU,-32,gy,gyration,NXSCK
2021-09-14 13:22:11:5840,IMU,82,gz,gyration,NXSCK
2021-09-14 13:22:11:6440,IMU,-74,mx,magnet,NXSCK
2021-09-14 13:22:11:6440,IMU,68,my,magnet,NXSCK
2021-09-14 13:22:11:6440,IMU,44,mz,magnet,NXSCK
2021-09-14 13:22:11:7040,sensor,106,a0,adc,NXSCK
2021-09-14 13:22:11:7040,sensor,55,a1,adc,NXSCK
2021-09-14 13:22:11:7040,sensor,177,a2,adc,NXSCK
2021-09-14 13:22:11:7640,IMU,722,ax,acceleration,NXSCK
2021-09-14 13:22:11:7640,IMU,14,ay,acceleration,NXSCK
2021-09-14 13:22:11:7640,IMU,508,az,acceleration,NXSCK
